LahmanPlayerID,Year,UniNo,dummy,dummy,dummy,dummy
adachry02,2024,3,,,,
adachto02,1984,58,,,,
adachto02,1985,58,,,,
adachto02,1986,58,,,,
adachto02,1987,58,,,,
adachto02,1988,58,,,,
adachto02,1989,58,,,,
adachto02,1990,25,,,,
adachto02,1991,25,,,,
adachto02,1992,25,,,,
adachto02,1993,25,,,,
adachto02,1994,25,,,,
adachto02,1995,25,,,,
adachto02,1996,25,,,,
adachwa01,1986,63,,,,
adachwa01,1987,22,,,,
adachwa01,1988,22,,,,
adachwa01,1989,22,,,,
adachwa01,1990,22,,,,
adachwa01,1991,22,,,,
adachwa01,1992,22,,,,
adachwa01,1993,22,,,,
adachwa01,1994,54,,,,
adachyu01,2016,44,,,,
adachyu01,2017,44,,,,
adachyu01,2018,44,,,,
adachyu01,2019,44,,,,
adachyu01,2020,44,,,,
adachyu01,2021,44,,,,
adamuh01,2007,4,,,,
davisal01,1992,33,,,,
despaal01,2014,49,,,,
despaal01,2015,54,,,,
despaal01,2016,54,,,,
despaal01,2017,54,,,,
despaal01,2018,54,,,,
despaal01,2019,54,,,,
despaal01,2020,54,,,,
despaal01,2021,54,,,,
despaal01,2022,54,,,,
despaal01,2023,25,,,,
dickeal01,2024,94,,,,
aduwama01,2017,48,,,,
aduwama01,2018,48,,,,
aduwama01,2019,48,,,,
aduwama01,2020,48,,,,
aduwama01,2021,48,,,,
aduwama01,2022,48,,,,
aduwama01,2023,48,,,,
aduwama01,2024,48,,,,
aduwama01,2025,48,,,,
echevan01,2003,43,,,,
echevan01,2004,43,,,,
hechaad01,2021,55,,,,
hechaad01,2022,55,,,,
abadan01,2000,44,,,,
hernaan01,2014,00,,,,
hernaan01,2015,00,,,,
hernaan01,2016,00,,,,
escobal01,2020,2,,,,
espinan01,2024,00,,,,
espinan01,2025,00,,,,
figaral01,2011,42,,,,
figaral01,2012,42,,,,
phillan01,2009,22,,,,
phillan01,2010,5,,,,
gardnar01,1981,5,,,,
gardnar01,1982,5,,,,
guielaa01,2007,5,,,,
guielaa01,2008,5,,,,
guielaa01,2009,5,,,,
guielaa01,2010,5,,,,
guielaa01,2011,5,,,,
garcian01,2024,78,,,,
garcian01,2025,124,,,,
agatama01,1964,44,,,,
agatama01,1965,44,,,,
agatama01,1966,24,,,,
guerral01,2017,42,,,,
guerral01,2018,5,,,,
guerral01,2019,44,,,,
gomezal01,2014,44,,,,
agramto01,2008,57,,,,
agramto01,2009,57,,,,
gramaal01,2006,54,,,,
gramaal01,2007,54,,,,
gramaal01,2008,54,,,,
gramaal01,2009,54,,,,
gramaal01,2010,54,,,,
gramaal01,2011,54,,,,
greenan01,2007,4,,,,
grunwal01,1962,67,,,,
garread01,1977,5,,,,
garread01,1978,5,,,,
garread01,1979,5,,,,
hansoal01,2023,94,,,,
aibayo01,1962,34,,,,
aibayo01,1963,34,,,,
aibayo01,1964,34,,,,
aibayo01,1965,25,,,,
aibayo01,1966,25,,,,
aibayo01,1967,25,,,,
aibayo01,1968,25,,,,
aibayo01,1969,25,,,,
aibayo01,1970,25,,,,
aibayo01,1971,25,,,,
aibayo01,1972,25,,,,
aibayo01,1973,9,,,,
aibayo01,1974,9,,,,
aibayo01,1975,26,,,,
aidate01,1971,18,,,,
aidate01,1972,18,,,,
aidate01,1973,18,,,,
aidate01,1974,18,,,,
aidate01,1975,12,,,,
aidate01,1976,12,,,,
aidate01,1977,12,,,,
aidate01,1978,12,,,,
aidate01,1979,12,,,,
aidate01,1980,12,,,,
aidato01,1960,22,,,,
aidato01,1961,22,,,,
aidato01,1962,22,,,,
aidato01,1963,49,,,,
aidato01,1964,49,,,,
aidayu01,2006,63,,,,
aidayu01,2007,63,,,,
aidayu01,2008,63,,,,
aidayu01,2009,63,,,,
aiei01,1983,43,,,,
aiei01,1984,43,,,,
aiei01,1985,43,,,,
aiei01,1986,43,,,,
aiei01,1987,43,,,,
aiei01,1988,43,,,,
aiei01,1989,43,,,,
aiei01,1990,43,,,,
aiei01,1991,33,,,,
aiei01,1992,33,,,,
aiharka01,2014,53,,,,
aiharka01,2015,53,,,,
aiharka01,2016,53,,,,
aiharka02,2006,53,,,,
aiharka02,2007,53,,,,
aiharka02,2008,53,,,,
aiharka02,2009,53,,,,
aiharka02,2010,53,,,,
aiharma01,1950,25,,,,
aikawhi01,1986,50,,,,
aikawhi01,1987,50,,,,
aikawhi01,1988,20,,,,
aikawhi01,1989,20,,,,
aikawhi01,1990,20,,,,
aikawhi01,1991,20,,,,
aikawhi01,1992,20,,,,
aikawhi01,1993,20,,,,
aikawry01,1999,30,,,,
aikawry01,2000,30,,,,
aikawry01,2001,30,,,,
aikawry01,2002,30,,,,
aikawry01,2003,30,,,,
aikawry01,2004,30,,,,
aikawry01,2005,30,,,,
aikawry01,2006,53,,,,
aikawry01,2007,53,,,,
aikawry01,2008,53,,,,
aikawry01,2009,53,,,,
aikawry01,2010,53,,,,
aikawry03,1995,59,,,,
