yearID,lgID,teamID,franchID,name,park,attendance,BA,2B,3B,HR,teamIDBR,teamIDlahman45,teamIDretro,Capacity,Type,Surface,LLd,LFd,LCd,CFd,RCd,RFd,RLd,LLh,LFh,LCh,CFh,RCh,RFh,RLh,BA LH,2B LH,3B LH,HR LH,BA RH,2B RH,3B RH,HR RH,BA Overall,2B Overall,3B Overall,HR Overall,path
1941,AL,TYW,TYW,Yokohama Whales,Korakuen Stadium,42337,0.971963,1.046512,0.96,0.933602,TYW,TYW,TYW,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,models/korakuen_stadium
1941,AL,YMG,YMG,Tokyo Giants,Korakuen Stadium,42337,0.971963,1.046512,0.96,0.933602,YMG,YMG,YMG,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,models/korakuen_stadium
1942,AL,ASH,ASH,Tokyo Asahi,Hankyu Nishinomiya Stadium,35000,0.930809,0.952381,0.913043,0.863333,ASH,ASH,ASH,35000,o,a,331,331,361,390,361,331,331,10,10,10,10,10,10,10,0.930809,0.952381,0.913043,0.863333,0.930809,0.952381,0.913043,0.863333,0.930809,0.952381,0.913043,0.863333,models/nishinomiya_stadium
1942,AL,CHD,CHD,Nagoya Dragons,Korakuen Stadium,42337,1.018784,1.023529,1.521739,1.143478,CHD,CHD,CHD,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.018784,1.023529,1.521739,1.143478,1.018784,1.023529,1.521739,1.143478,1.018784,1.023529,1.521739,1.143478,models/korakuen_stadium
1942,AL,EGL,EGL,Tokyo Eagles,Korakuen Stadium,42337,1.018784,1.023529,1.521739,1.143478,EGL,EGL,EGL,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.018784,1.023529,1.521739,1.143478,1.018784,1.023529,1.521739,1.143478,1.018784,1.023529,1.521739,1.143478,models/korakuen_stadium
1942,AL,HKB,HKB,Nishinomiya Braves,Hanshin Koshien Stadium,47508,0.960057,0.941176,0.689655,0.972332,HKB,HKB,HKB,47508,o,g,312,312,387,387,387,312,312,9,9,9,9,9,9,9,0.960057,0.941176,0.689655,0.972332,0.960057,0.941176,0.689655,0.972332,0.960057,0.941176,0.689655,0.972332,
1942,AL,HNT,HNT,Osaka Tigers,Hanshin Koshien Stadium,47508,0.960057,0.941176,0.689655,0.972332,HNT,HNT,HNT,47508,o,g,312,312,387,387,387,312,312,9,9,9,9,9,9,9,0.960057,0.941176,0.689655,0.972332,0.960057,0.941176,0.689655,0.972332,0.960057,0.941176,0.689655,0.972332,
1942,AL,NKH,NKH,Osaka Hawks,Hanshin Koshien Stadium,47508,0.960057,0.941176,0.689655,0.972332,NKH,NKH,NKH,47508,o,g,312,312,387,387,387,312,312,9,9,9,9,9,9,9,0.960057,0.941176,0.689655,0.972332,0.960057,0.941176,0.689655,0.972332,0.960057,0.941176,0.689655,0.972332,
1942,AL,TYW,TYW,Yokohama Whales,Korakuen Stadium,42337,1.018784,1.023529,1.521739,1.143478,TYW,TYW,TYW,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.018784,1.023529,1.521739,1.143478,1.018784,1.023529,1.521739,1.143478,1.018784,1.023529,1.521739,1.143478,models/korakuen_stadium
1942,AL,YMG,YMG,Tokyo Giants,Korakuen Stadium,42337,1.018784,1.023529,1.521739,1.143478,YMG,YMG,YMG,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.018784,1.023529,1.521739,1.143478,1.018784,1.023529,1.521739,1.143478,1.018784,1.023529,1.521739,1.143478,models/korakuen_stadium
1943,AL,ASH,ASH,Tokyo Asahi,Hankyu Nishinomiya Stadium,35000,0.995461,1.0,0.928571,0.996377,ASH,ASH,ASH,35000,o,a,331,331,361,390,361,331,331,10,10,10,10,10,10,10,0.995461,1.0,0.928571,0.996377,0.995461,1.0,0.928571,0.996377,0.995461,1.0,0.928571,0.996377,models/nishinomiya_stadium
1943,AL,CHD,CHD,Nagoya Dragons,Korakuen Stadium,42337,0.986904,1.051282,1.064516,0.828921,CHD,CHD,CHD,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.986904,1.051282,1.064516,0.828921,0.986904,1.051282,1.064516,0.828921,0.986904,1.051282,1.064516,0.828921,models/korakuen_stadium
1943,AL,EGL,EGL,Tokyo Eagles,Korakuen Stadium,42337,0.986904,1.051282,1.064516,0.828921,EGL,EGL,EGL,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.986904,1.051282,1.064516,0.828921,0.986904,1.051282,1.064516,0.828921,0.986904,1.051282,1.064516,0.828921,models/korakuen_stadium
1943,AL,HKB,HKB,Nishinomiya Braves,Hankyu Nishinomiya Stadium,35000,0.995461,1.0,0.928571,0.996377,HKB,HKB,HKB,35000,o,a,331,331,361,390,361,331,331,10,10,10,10,10,10,10,0.995461,1.0,0.928571,0.996377,0.995461,1.0,0.928571,0.996377,0.995461,1.0,0.928571,0.996377,models/nishinomiya_stadium
1943,AL,HNT,HNT,Osaka Tigers,Hankyu Nishinomiya Stadium,35000,0.995461,1.0,0.928571,0.996377,HNT,HNT,HNT,35000,o,a,331,331,361,390,361,331,331,10,10,10,10,10,10,10,0.995461,1.0,0.928571,0.996377,0.995461,1.0,0.928571,0.996377,0.995461,1.0,0.928571,0.996377,models/nishinomiya_stadium
1943,AL,NKH,NKH,Osaka Hawks,Hankyu Nishinomiya Stadium,35000,0.995461,1.0,0.928571,0.996377,NKH,NKH,NKH,35000,o,a,331,331,361,390,361,331,331,10,10,10,10,10,10,10,0.995461,1.0,0.928571,0.996377,0.995461,1.0,0.928571,0.996377,0.995461,1.0,0.928571,0.996377,models/nishinomiya_stadium
1943,AL,NSL,NSL,Fukuoka Lions,Korakuen Stadium,42337,0.986904,1.051282,1.064516,0.828921,NSL,NSL,NSL,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.986904,1.051282,1.064516,0.828921,0.986904,1.051282,1.064516,0.828921,0.986904,1.051282,1.064516,0.828921,models/korakuen_stadium
