playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,GO,AO,QS,BS,Holds,SvOpp,NumberOfPitches,BABIP AB Against,H-HR actual,MLB pBABIP,career_babip_actual_500_ab_minimum,1yr_babip_actual_100_ab_minimum,3yr_babip_actual_300_ab_minimum,5yr_babip_actual_500_ab_minimum,career_babip_aactual_500_ab_minimum_Relative,1yr_babip_aactual_100_ab_minimum_Relative,3yr_babip_actual_300_ab_minimum_Relative,5yr_babip_actual_500_ab_minimum_Relative,career_babip_actual_1000_ab_minimum,1yr_babip_actual_200_ab_minimum,3yr_babip_actual_600_ab_minimum,5yr_babip_actual_1000_ab_minimum,career_babip_actual_1000_ab_minimum_Relative,1yr_babip_actual_200_ab_minimum_Relative,3yr_babip_actual_600_ab_minimum_Relative,5yr_babip_actual_1000_ab_minimum_Relative,IP,BF
abeta01,2016,1,DNB,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
abeyu01,1961,1,KNB,NL,0,0,1,0,0,0,0,3,3,3,0,1,1,,27.0,,0,0,0,7,1,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1.0,7
abeyu01,1962,1,KNB,NL,0,0,3,0,0,0,0,14,6,1,0,0,0,,1.8,,0,0,0,20,1,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,4.2,20
abeyu01,1963,1,KNB,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
abeyu01,1964,1,KNB,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
abreual01,2024,1,SBL,NL,2,5,52,0,0,0,28,147,38,13,1,20,33,,2.39,,0,3,0,202,39,17,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,49.0,202
abreuwi01,2008,1,LTM,NL,1,2,20,0,0,0,0,65,23,8,2,8,24,,3.32,,0,0,0,94,5,9,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,21.2,94
achirta01,2014,1,CHD,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
achirta01,2015,1,CHD,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
achirta01,2016,1,CHD,AL,0,0,13,0,0,0,0,43,12,4,2,4,14,,2.51,,1,1,0,59,6,4,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,14.1,59
