yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,Ties,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,hist_team_id,ros_team_id,unique_id
1946,AL,DES,DES,,6,105,53,43,60,2,,,320,3443,795,93,35,8,303,249,82,56,19,0,484,364,3.54,75,10,0,2774,920,30,435,356,171,209,,Tokyo Stars,Hankyu Nishinomiya Stadium,324343,,,,,,,,
1946,AL,HKB,HKB,,4,105,56,51,52,2,,,444,3683,947,172,38,14,383,269,97,36,20,0,436,333,3.17,54,4,0,2832,897,29,332,251,180,330,,Nishinomiya Braves,Hankyu Nishinomiya Stadium,427341,,,,,,,,
1946,AL,KGR,KGR,,1,105,53,65,38,2,Y,,574,3671,1003,155,49,24,461,247,200,83,16,0,401,324,3.08,71,13,0,2838,873,20,522,368,169,365,,Osaka Great Ring,Hankyu Nishinomiya Stadium,400789,,,,,,,,
1946,AL,OST,OST,,3,105,51,59,46,0,,,549,3668,1057,142,61,28,398,268,110,58,9,0,430,334,3.23,53,9,0,2788,894,27,383,256,187,383,,Osaka Tigers,Hankyu Nishinomiya Stadium,402904,,,,,,,,
1946,AL,SKR,SKR,,8,105,56,42,60,3,,,361,3593,833,143,32,24,443,344,59,27,14,0,452,339,3.23,75,11,0,2833,918,17,429,295,180,368,,Kyoto Robins,Hankyu Nishinomiya Stadium,422618,,,,,,,,
1946,AL,TKS,TKS,,5,105,51,47,58,0,,,424,3401,809,112,53,43,458,361,91,48,18,0,506,374,3.67,69,4,0,2754,948,24,421,304,216,287,,Tokyo Senators,Korakuen Stadium,387716,,,,,,,,
1946,AL,YMG,YMG,,2,105,51,64,39,2,,,499,3603,927,138,57,24,479,285,98,49,10,0,356,270,2.59,70,20,0,2811,805,22,428,313,153,408,,Tokyo Giants,Korakuen Stadium,434840,,,,,,,,
1947,AL,CHD,CHD,,2,119,61,67,50,2,,,410,3881,887,136,44,41,417,356,143,72,16,0,320,241,2.03,79,18,0,3204,889,32,289,328,135,378,,Nagoya Dragons,Korakuen Stadium,533793,,,,,,,,
1947,AL,DES,DES,,8,119,70,41,74,4,,,341,3937,866,103,32,22,303,310,86,63,19,0,476,353,2.98,74,18,0,3198,968,27,437,272,194,322,,Tokyo Stars,Korakuen Stadium,469559,,,,,,,,
1947,AL,HKB,HKB,,4,119,70,58,57,4,,,357,3958,908,118,29,28,313,252,71,41,22,0,359,283,2.38,74,10,0,3213,948,38,293,258,132,326,,Nishinomiya Braves,Korakuen Stadium,609964,,,,,,,,
1947,AL,NKH,NKH,,3,119,45,59,55,5,,,393,3947,912,122,33,24,391,291,196,96,15,0,374,284,2.39,84,14,0,3202,896,27,412,408,183,348,,Osaka Hawks,Korakuen Stadium,347949,,,,,,,,
1947,AL,OST,OST,,1,119,48,79,37,3,Y,,502,4101,1058,167,57,17,416,264,127,59,20,0,325,260,2.18,80,21,0,3222,916,30,294,266,161,351,,Osaka Tigers,Korakuen Stadium,514351,,,,,,,,
1947,AL,SKR,SKR,,7,119,75,50,64,5,,,350,3981,908,138,45,36,341,335,76,49,17,0,423,304,2.55,94,9,0,3215,920,22,485,354,179,391,,Kyoto Robins,Hanshin Koshien Stadium,583247,,,,,,,,
1947,AL,TKF,TKF,,6,119,49,51,65,3,,,354,3887,847,125,44,45,414,388,70,77,29,0,427,299,2.53,90,9,0,3191,971,23,345,266,222,406,,Tokyo Flyers,Korakuen Stadium,407989,,,,,,,,
1947,AL,YMG,YMG,,5,119,58,56,59,4,,,393,4023,972,140,49,27,421,320,100,58,9,0,396,316,2.65,73,16,0,3216,850,41,461,364,147,437,,Tokyo Giants,Korakuen Stadium,545879,,,,,,,,
1948,AL,CHD,CHD,,8,140,70,52,83,5,,,434,4683,1086,186,30,45,373,407,164,97,14,0,535,421,2.99,74,11,0,3797,1194,45,423,344,227,440,,Nagoya Dragons,Korakuen Stadium,558516,,,,,,,,
1948,AL,DES,DES,,7,140,70,60,73,7,,,444,4710,1077,157,47,43,387,346,95,56,18,0,485,397,2.84,95,14,0,3780,1127,56,392,432,175,371,,Tokyo Stars,Korakuen Stadium,756490,,,,,,,,
1948,AL,HKB,HKB,,4,140,75,66,68,6,,,500,4783,1155,166,53,25,359,387,213,79,17,0,487,370,2.63,80,12,0,3792,1177,52,312,335,204,453,,Nishinomiya Braves,Hankyu Nishinomiya Stadium,594823,,,,,,,,
1948,AL,NKH,NKH,,1,140,73,87,49,4,Y,,592,4772,1215,203,48,45,470,410,218,88,19,0,395,306,2.18,87,22,0,3798,1044,36,362,460,210,380,,Osaka Hawks,Hanshin Koshien Stadium,616795,,,,,,,,
1948,AL,OST,OST,,3,140,69,70,66,4,,,542,4798,1256,205,51,50,346,338,166,60,16,0,499,403,2.88,86,12,0,3773,1204,54,331,329,200,323,,Osaka Tigers,Hanshin Koshien Stadium,662539,,,,,,,,
1948,AL,SKR,SKR,,6,140,55,61,74,5,,,437,4726,1114,166,50,39,338,395,138,95,14,0,586,481,3.47,80,16,0,3744,1261,62,387,357,186,372,,Kyoto Robins,Hankyu Nishinomiya Stadium,422962,,,,,,,,
1948,AL,TKF,TKF,,5,140,65,59,70,11,,,445,4766,1088,147,37,49,399,467,165,83,13,0,546,436,3.08,91,8,0,3820,1166,51,381,410,160,357,,Tokyo Flyers,Korakuen Stadium,536403,,,,,,,,
1948,AL,YMG,YMG,,2,140,83,83,55,2,,,555,4692,1199,168,38,95,350,375,130,76,16,0,416,317,2.27,81,28,0,3765,1017,35,434,458,198,435,,Tokyo Giants,Korakuen Stadium,1336760,,,,,,,,
1949,AL,CHD,CHD,,5,137,66,66,68,3,,,628,4849,1300,228,35,136,330,418,111,62,23,0,642,514,3.77,73,8,0,3684,1306,91,455,399,186,504,,Nagoya Dragons,Chunichi Stadium,742500,,,,,,,,
1949,AL,DES,DES,,3,134,57,67,65,2,,,702,4743,1292,225,37,130,449,577,74,41,16,0,653,548,4.15,73,11,0,3562,1230,124,485,440,161,392,,Tokyo Stars,Korakuen Stadium,123000,,,,,,,,
1949,AL,HKB,HKB,,2,136,66,69,64,3,,,622,4835,1281,197,50,67,407,418,185,84,17,0,585,501,3.63,61,11,0,3723,1265,110,303,374,181,455,,Nishinomiya Braves,Hankyu Nishinomiya Stadium,45000,,,,,,,,
1949,AL,NKH,NKH,,4,135,66,67,67,1,,,661,4730,1279,202,54,90,444,439,199,66,15,0,670,530,3.95,55,6,0,3623,1249,99,454,564,214,365,,Osaka Hawks,Hankyu Nishinomiya Stadium,85000,,,,,,,,
1949,AL,OST,OST,,6,137,73,65,69,3,,,735,4890,1384,242,45,141,408,420,128,68,21,0,725,612,4.47,65,9,0,3698,1374,121,430,460,216,440,,Osaka Tigers,Hanshin Koshien Stadium,143000,,,,,,,,
1949,AL,SKR,SKR,,8,133,60,52,81,0,,,603,4695,1242,197,42,92,373,478,71,47,23,0,745,597,4.59,58,5,0,3509,1339,119,454,396,220,382,,Kyoto Robins,Kyoto Kinugasa Stadium,305300,,,,,,,,
1949,AL,TKF,TKF,,7,138,79,64,73,1,,,560,4641,1126,193,45,93,453,513,115,56,19,0,700,573,4.18,77,6,0,3702,1294,123,363,454,202,338,,Tokyo Flyers,Korakuen Stadium,273500,,,,,,,,
1949,AL,YMG,YMG,,1,134,75,85,48,1,Y,,706,4673,1275,203,42,125,446,406,112,57,20,0,497,421,3.15,92,12,0,3608,1122,87,366,582,160,447,,Tokyo Giants,Korakuen Stadium,300000,,,,,,,,
1950,AL,CHD,CHD,,2,137,81,89,44,4,,,745,4787,1311,229,54,144,444,422,179,66,16,0,597,510,3.73,72,12,0,3692,1245,85,450,558,148,397,,Nagoya Dragons,Chunichi Stadium,1021100,,,,,,,,
1950,NL,DES,DES,,3,120,62,62,54,4,,,541,4152,1078,181,22,91,350,438,82,33,21,0,512,439,3.7,65,10,0,3207,1074,75,397,457,161,380,,Tokyo Stars,Korakuen Stadium,685500,,,,,,,,
1950,NL,HKB,HKB,,4,120,60,54,64,2,,,522,4086,999,163,46,69,307,424,193,53,23,0,541,432,3.69,48,6,0,3157,1048,78,327,463,171,277,,Nishinomiya Braves,Hankyu Nishinomiya Stadium,476600,,,,,,,,
